"","time","close","Rd"
"3892",2013-09-10,1541,27.7138671931943
"3897",2013-09-17,1740,12.145355688846
"3902",2013-09-24,2021,14.9707325195046
"3907",2013-10-01,1994,-1.34497668818376
"3912",2013-10-08,2146,7.34629726688603
"3917",2013-10-15,1963,-8.91317289141824
"3922",2013-10-22,1847,-6.09112140772217
"3927",2013-10-29,1551,-17.4662817022701
"3932",2013-11-05,1600,3.11037450513334
"3937",2013-11-12,1543,-3.62750558647118
"3942",2013-11-19,1495,-3.16023665383742
"3947",2013-11-26,1512,1.13070709146914
"3952",2013-12-03,1922,23.993303279076
"3957",2013-12-10,2237,15.1769371959892
"3962",2013-12-17,2225,-0.537876688978933
"3967",2013-12-24,2277,2.31018714633988
"3971",2014-01-07,1876,-19.3716936497569
"3976",2014-01-14,1370,-31.4331110743999
"3981",2014-01-21,1369,-0.0730193533722279
"3986",2014-01-28,1177,-15.1111718028172
"3991",2014-02-04,1084,-8.23109252606846
"3996",2014-02-11,1091,0.643680383347878
"4001",2014-02-18,1146,4.91829114416147
"4006",2014-02-25,1197,4.35408082832875
"4011",2014-03-04,1325,10.159403286235
"4016",2014-03-11,1580,17.601238760069
"4021",2014-03-18,1518,-4.00311680654379
"4026",2014-03-25,1578,3.87645434502444
"4031",2014-04-01,1316,-18.1561389520557
"4036",2014-04-08,1098,-18.1106489815787
"4041",2014-04-15,970,-12.3949550572047
"4044",2014-04-22,939,-3.24805922891658
"4049",2014-04-29,949,1.05933194016652
"4054",2014-05-06,1022,7.41079721537217
"4059",2014-05-13,982,-3.9925462409184
"4064",2014-05-20,1010,2.81143014808389
"4068",2014-05-27,973,-3.73215276492997
"4073",2014-06-03,948,-2.60295799309835
"4078",2014-06-10,1004,5.73927979966529
"4083",2014-06-17,858,-15.7143200763712
"4088",2014-06-24,867,1.04348772925791
"4093",2014-07-01,894,3.06667983929723
"4098",2014-07-08,881,-1.46481492373338
"4103",2014-07-15,782,-11.9202885390869
"4108",2014-07-22,723,-7.84455183865465
"4113",2014-07-29,747,3.26559629740526
"4118",2014-08-05,755,1.06525641162074
"4123",2014-08-12,836,10.1910863835677
"4128",2014-08-19,1040,21.8347379050717
"4132",2014-08-26,1070,2.84379353205333
"4137",2014-09-02,1149,7.1233350392804
"4142",2014-09-09,1197,4.09264277092172
"4147",2014-09-16,1150,-4.00564842006768
"4152",2014-09-23,1073,-6.93034787265976
"4157",2014-09-30,1063,-0.936336428875073
"4162",2014-10-07,1015,-4.62064868660601
"4167",2014-10-14,948,-6.82893892208662
"4172",2014-10-21,1090,13.9578472968168
"4177",2014-10-28,1395,24.6716719032277
"4182",2014-11-04,1484,6.18467294718599
"4187",2014-11-11,1370,-7.99304049051548
"4192",2014-11-18,1296,-5.55281419099511
"4197",2014-11-25,1313,1.30319973905761
"4202",2014-12-02,1119,-15.9879165990871
"4207",2014-12-09,933,-18.1785507464581
"4212",2014-12-16,838,-10.7387100365261
"4217",2014-12-23,788,-6.15200106242035
"4221",2015-01-06,758,-3.88147042155076
"4226",2015-01-13,762,0.52631700442749
"4231",2015-01-20,753,-1.18813278867531
"4236",2015-01-27,688,-9.027638986655
"4241",2015-02-03,577,-17.5946571425244
"4246",2015-02-10,556,-3.70739722575175
"4251",2015-02-17,516,-7.46615287690195
"4254",2015-02-24,516,0
"4259",2015-03-03,553,6.92512360407722
"4264",2015-03-10,568,2.67634171988167
"4269",2015-03-17,568,0
"4274",2015-03-24,597,4.97956946714506
"4279",2015-03-31,602,0.834033191621852
"4282",2015-04-07,583,-3.20702589583286
"4287",2015-04-14,581,-0.343642949858136
"4292",2015-04-21,601,3.38441776832967
"4297",2015-04-28,601,0
"4301",2015-05-05,580,-3.55668309947426
"4306",2015-05-12,589,1.53980801111215
"4311",2015-05-19,620,5.1293294387551
"4315",2015-05-26,584,-5.98184952109104
"4320",2015-06-02,591,1.19150345778714
"4325",2015-06-09,612,3.49162651062276
"4330",2015-06-16,681,10.6830023637186
"4335",2015-06-23,790,14.8470639311555
"4340",2015-06-30,800,1.25787822068597
"4345",2015-07-07,830,3.68139731227162
"4350",2015-07-14,915,9.74983644848777
"4355",2015-07-21,1113,19.5890286000024
"4360",2015-07-28,1094,-1.72183682936184
"4365",2015-08-04,1200,9.24808527941652
"4370",2015-08-11,1162,-3.21788983642355
"4375",2015-08-18,1046,-10.5169292786988
"4380",2015-08-25,942,-10.4723370048506
"4384",2015-09-01,911,-3.34623773164049
"4389",2015-09-08,873,-4.26073414203563
"4394",2015-09-15,802,-8.48269479730872
"4399",2015-09-22,923,14.0520626636337
"4404",2015-09-29,926,0.324500014332774
"4409",2015-10-06,869,-6.35311093807873
"4414",2015-10-13,804,-7.77438560864256
"4419",2015-10-20,762,-5.36527134923199
"4424",2015-10-27,739,-3.06486347384451
"4429",2015-11-03,680,-8.32051227780495
"4434",2015-11-10,622,-8.91527054309726
"4439",2015-11-17,537,-14.6941998230314
"4444",2015-11-24,528,-1.69018108026036
"4449",2015-12-01,598,12.449447024437
"4454",2015-12-08,551,-8.18559447977165
"4459",2015-12-15,484,-12.9649902436283
"4464",2015-12-22,474,-2.08775850215552
"4468",2016-01-05,468,-1.27390257774298
"4473",2016-01-12,402,-15.2016207298626
"4478",2016-01-19,363,-10.2049254354171
"4483",2016-01-26,345,-5.08584172334903
"4488",2016-02-02,310,-10.6972119552168
"4493",2016-02-09,291,-6.32490303076993
"4498",2016-02-16,301,3.37869975773826
"4503",2016-02-23,318,5.49411180313015
"4508",2016-03-01,332,4.30835861363112
"4513",2016-03-08,366,9.74983644848777
"4518",2016-03-15,396,7.87808778531147
"4523",2016-03-22,398,0.503779402995708
"4526",2016-03-29,409,2.72631507583645
"4531",2016-04-05,487,17.4548967039788
"4536",2016-04-12,560,13.9672660646605
"4541",2016-04-19,671,18.0832353242487
"4546",2016-04-26,704,4.80092191863601
"4550",2016-05-03,682,-3.17486983145798
"4555",2016-05-10,594,-13.8150338480817
"4560",2016-05-17,643,7.92654048749739
"4565",2016-05-24,618,-3.96562667799287
"4569",2016-05-31,612,-0.975617494536429
"4574",2016-06-07,606,-0.985229644301189
"4579",2016-06-14,608,0.329489589685306
"4584",2016-06-21,580,-4.71467784257023
"4589",2016-06-28,627,7.79184370924559
"4594",2016-07-05,692,9.86394149847483
"4599",2016-07-12,711,2.70864741855714
"4604",2016-07-19,746,4.80531704005198
"4609",2016-07-26,696,-6.93759398693405
"4614",2016-08-02,645,-7.60993435386474
"4619",2016-08-09,631,-2.19444542545597
"4624",2016-08-16,687,8.50284296811363
"4629",2016-08-23,692,0.725166339532013
"4633",2016-08-30,715,3.26965870763383
"4638",2016-09-06,745,4.11016756855522
"4643",2016-09-13,796,6.62149674648234
"4648",2016-09-20,865,8.31303210874959
"4653",2016-09-27,930,7.24550792154224
"4658",2016-10-04,860,-7.8252196899748
"4663",2016-10-11,922,6.96128343090407
"4668",2016-10-18,890,-3.53237608304084
"4673",2016-10-25,813,-9.04903531783754
"4678",2016-11-01,838,3.02869909342727
"4683",2016-11-08,911,8.35247967778754
"4688",2016-11-15,1084,17.3870284739634
"4693",2016-11-22,1232,12.7980962093873
"4698",2016-11-29,1202,-2.46520289983119
"4703",2016-12-06,1186,-1.34005355374818
"4708",2016-12-13,1052,-11.9893186260016
"4713",2016-12-20,914,-14.0617821843506
"4717",2017-01-03,953,4.17843322000522
