time,open,high,low,close
2011-03-23T00:00:00Z,1565,1565,1565,1565
2011-03-24T00:00:00Z,1583,1583,1583,1583
2011-03-25T00:00:00Z,1585,1585,1585,1585
2011-03-28T00:00:00Z,1585,1585,1585,1585
2011-03-29T00:00:00Z,1572,1572,1572,1572
2011-03-30T00:00:00Z,1545,1545,1545,1545
2011-03-31T00:00:00Z,1530,1530,1530,1530
2011-04-01T00:00:00Z,1520,1520,1520,1520
2011-04-04T00:00:00Z,1498,1498,1498,1498
2011-04-05T00:00:00Z,1462,1462,1462,1462
2011-04-06T00:00:00Z,1430,1430,1430,1430
2011-04-07T00:00:00Z,1401,1401,1401,1401
2011-04-08T00:00:00Z,1376,1376,1376,1376
2011-04-11T00:00:00Z,1359,1359,1359,1359
2011-04-12T00:00:00Z,1342,1342,1342,1342
2011-04-13T00:00:00Z,1324,1324,1324,1324
2011-04-14T00:00:00Z,1309,1309,1309,1309
2011-04-15T00:00:00Z,1296,1296,1296,1296
2011-04-18T00:00:00Z,1284,1284,1284,1284
2011-04-19T00:00:00Z,1271,1271,1271,1271
2011-04-20T00:00:00Z,1262,1262,1262,1262
2011-04-21T00:00:00Z,1254,1254,1254,1254
2011-04-26T00:00:00Z,1250,1250,1250,1250
2011-04-27T00:00:00Z,1259,1259,1259,1259
2011-04-28T00:00:00Z,1269,1269,1269,1269
2011-05-03T00:00:00Z,1292,1292,1292,1292
2011-05-04T00:00:00Z,1302,1302,1302,1302
2011-05-05T00:00:00Z,1314,1314,1314,1314
2011-05-06T00:00:00Z,1340,1340,1340,1340
2011-05-09T00:00:00Z,1348,1348,1348,1348
2011-05-10T00:00:00Z,1344,1344,1344,1344
2011-05-11T00:00:00Z,1334,1334,1334,1334
2011-05-12T00:00:00Z,1320,1320,1320,1320
2011-05-13T00:00:00Z,1306,1306,1306,1306
2011-05-16T00:00:00Z,1291,1291,1291,1291
2011-05-17T00:00:00Z,1274,1274,1274,1274
2011-05-18T00:00:00Z,1271,1271,1271,1271
2011-05-19T00:00:00Z,1329,1329,1329,1329
2011-05-20T00:00:00Z,1349,1349,1349,1349
2011-05-23T00:00:00Z,1369,1369,1369,1369
2011-05-24T00:00:00Z,1398,1398,1398,1398
2011-05-25T00:00:00Z,1446,1446,1446,1446
2011-05-26T00:00:00Z,1467,1467,1467,1467
2011-05-27T00:00:00Z,1474,1474,1474,1474
2011-05-31T00:00:00Z,1480,1480,1480,1480
2011-06-01T00:00:00Z,1485,1485,1485,1485
2011-06-02T00:00:00Z,1489,1489,1489,1489
2011-06-03T00:00:00Z,1489,1489,1489,1489
2011-06-06T00:00:00Z,1484,1484,1484,1484
2011-06-07T00:00:00Z,1456,1456,1456,1456
2011-06-08T00:00:00Z,1434,1434,1434,1434
2011-06-09T00:00:00Z,1428,1428,1428,1428
2011-06-10T00:00:00Z,1418,1418,1418,1418
2011-06-13T00:00:00Z,1412,1412,1412,1412
2011-06-14T00:00:00Z,1400,1400,1400,1400
2011-06-15T00:00:00Z,1405,1405,1405,1405
2011-06-16T00:00:00Z,1424,1424,1424,1424
2011-06-17T00:00:00Z,1423,1423,1423,1423
2011-06-20T00:00:00Z,1418,1418,1418,1418
2011-06-21T00:00:00Z,1409,1409,1409,1409
2011-06-22T00:00:00Z,1406,1406,1406,1406
2011-06-23T00:00:00Z,1414,1414,1414,1414
2011-06-24T00:00:00Z,1424,1424,1424,1424
